Store,smartIntent,message,starRating,Month of Fiscal Month,Blank
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,"(Translated by Google) Jose, he gave us good service, very friendly.
Greetings

(Original)
Jose, nos brindo un buen servicio, muy amable .
Saludos",5,25-Jan,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,"(Translated by Google) Leo gave me the best attention, very attentive and friendly. 100% recommended Leonardo for his great customer service… more workers like this this place needs

(Original)
Leo me dio la mejor de las atenciones , muy atento y amable 100% recomendado Leonardo por su gran servicio al cliente … mas trabajadores así necesita este lugar",5,25-Jan,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,"(Translated by Google) Thank you Katy for your service and kindness, also for your professionalism, I was about to go to another company but Thanks to Katy I will continue with you

(Original)
Gracias Katy por tu servicio y  amabilidad, también por tu profesionalidad, estuve a punto de irme a otra compañía pero Gracias a Katy voy a seguir con ustedes",5,25-Feb,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,"(Translated by Google) Thank you Oscar for your service, efficiency and good work.

(Original)
Gracias Oscar por tu servicio , eficacia y tu buen trabajo",5,25-Mar,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,"(Translated by Google) The staff is professional, patient, helpful. Thank you all for your work and attention. Special regards to GABY, STEPHANY, EDWARDS and BRYAN

(Original)
El personal es profecional,paciente,servicial.Agradecido a todos por su trabajo y atenciones.Saludos especiales para GABY,STEPHANY,EDWARDS Y BRYAN",5,25-Feb,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,"(Translated by Google) The store is full of users and the workers are very relaxed. Customers' time must be respected

(Original)
La tienda full de usuarios y los trabajadores bien relajados. Hay que respetar el tiempo de los clientes",3,25-Jan,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,"(Translated by Google) Very good service 👏

(Original)
Muy buena atención 👏",5,25-Feb,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,"(Translated by Google) Very good service and good attention

(Original)
Muy buen servicio y buena atención",5,25-Mar,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,Great location and staff really go the extra mile to help out thanks again Beatriz!,5,25-Mar,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Appreciation,"Thank you to Roxy, Jessica, and the other blonde girl for helping us tonight with the phone transfer from T-mobile from hell. They were patient and helpful.",5,25-Feb,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Behaviour Issues,"(Translated by Google) They cheat customers with their payments, they don't speak clearly

(Original)
Engañan a los clientes con sus pagos ,no hablan con claridad",1,25-Mar,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Dissatisfaction,"(Translated by Google) José treated me very well

(Original)
José me atendió muy  bien",5,25-Jan,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Dissatisfaction,"(Translated by Google) The service was more or less the first time we were served by an older lady who treated us very badly, but then they changed the salesperson and she treated us very well. His name is Angelo. The boy gave us excellent treatment. Only the boy ANGELO, I recommend him 100%.

(Original)
La atención más o menos primero nos atendió una señora mayor con muy mal trato,pero después nos cambiaron de vendedor y nos trató muy bien su nombre es Angelo excelente trato nos dio el muchacho solo el muchacho ANGELO lo recomiendo 100%",3,25-Feb,1536
Xfinity #1536 Hialeah,Store Experience | Staff | Dissatisfaction,"(Translated by Google) Too many employees, too little attention.

(Original)
Muchos empleados y poca atención.",3,25-Mar,1536
Xfinity #1537 Leesburg,Store Experience | Customer Dissatisfaction,"Amazing customer serivce. most xfinity stores are really bad with service, but this one is awesome. The young red hair manager was really helpful!",5,25-Jan,1537
Xfinity #1537 Leesburg,Store Experience | Customer Dissatisfaction,"Hopefully resolved but had problems when I try to install and no help from Leesburg store never replied to my email.
Just ignored. Was there 3 plus hours to have problems when tried to install",2,25-Feb,1537
Xfinity #1537 Leesburg,Store Experience | Customer Dissatisfaction,The people at the store are nice and all good but XFinity as an actual company is terrible and a nightmare to deal with,1,25-Feb,1537
Xfinity #1537 Leesburg,Store Experience | Long Wait Time,"Considering this location serves pretty much all of central florida and I had to drive a freaking hour to return my modem, stopping everyone at the door to stand in the heat while the entire store is empty with A/C is crazy, walk everyone inside. Also, just to return modems there's another line and instead of just announcing that all modem returns should go to that line they let you stand there until it's your turn to be told to go to the other line. It's just operationally stupid",2,25-Mar,1537
Xfinity #1537 Leesburg,Store Experience | Long Wait Time,"Karen was wonderful. Helpful, patient, knowledgeable and pleasant. The wait was long but on our turn we were given her undivided attention and not up-sold.",5,25-Jan,1537
Xfinity #1537 Leesburg,Store Experience | Long Wait Time,"Reasonable wait time. Pleasant customer
service.",5,25-Mar,1537
Xfinity #1537 Leesburg,Store Experience | Long Wait Time,"This review is for KRISTEENA H.
I was having trouble with my service on February 3rd, 2025 and after spending hours being switched around to a ""remote"" helper (which didn't work) and trying to speak with a ""live"" person, I eventually had to go to the Service Center in Leesburg, FL. to get my issues resolved. I was frustrated that I had to drive that far from home and then to see the amount of people waiting to be served. My turn to speak to a Retail Sales Consultant, brought me to the desk of KRISTEENA H.  I told her what my issues were and how I felt of having to drive that far to this store. She remained calm and listened to my concerns. The more time that passed as I sat at her desk, I realized that his lady truly cared and was totally there to resolved my issues... which she did. I had to take the time to write a review for the impeccable customer service that she gave to me. Xfinity -Comcast needs to realize the gem of an associate that they have in Miss Kristeena H.  Her name tag should be changed to read ""Outstanding Customer Service Representative.""
Thank you Miss Kristeena H. for turning my frown to a smile before leaving your store. I so appreciate you.",5,25-Mar,1537
Xfinity #1537 Leesburg,Store Experience | Staff | Appreciation,"I found this store to be a very pleasant experience! Did my problem get solved immediately, no, but all who helped were pleasant to work with and eager to reach out to obtain answers to solve my issue. I will say that after 3 trips in one day my anxiety was high but each time an agent helped to lower my stress by their professionalism. I was ready to jump ship but they didn’t give up. When someone does bad it should be addressed but when things go right we need to let it be known! Kudos to a great Store manager, assistant store manager and associate.",4,25-Mar,1537
Xfinity #1537 Leesburg,Store Experience | Staff | Appreciation,I walked into the store on 441 in eustis.and I got quick attention from the lady at the front desk and I was walked through every step.they are fantastic.,5,25-Feb,1537
Xfinity #1537 Leesburg,Store Experience | Staff | Appreciation,"I was in and out in less than 5 minutes. I was greeted and directed to the place I needed to go. The professional that helped me was knowledgeable, courteous, and quickly helped me.",5,25-Jan,1537
Xfinity #1537 Leesburg,Store Experience | Staff | Appreciation,The service person was very attentive and I was able to get a case and screen protector for only $5,5,25-Feb,1537
Xfinity #1537 Leesburg,Store Experience | Staff | Appreciation,Walked in and out with my issues revolved quickly. Also very happy with the workers at this location. ignore the bad reviews they are just old people mad at the world 👀,5,25-Mar,1537
Xfinity #1537 Leesburg,Store Experience | Staff | Dissatisfaction,"Folks at the store are kind and doing what they can, but corporate policies mean they can't help in most cases. Time to review backwards company policies that make the customer experience miserable and waste hours of their day.",1,25-Mar,1537
Xfinity #1537 Leesburg,Store Experience | Staff | Dissatisfaction,"This is the most disorganized business I have dealt with recently. Nobody acknowledged my arrival and there was no place to check in. All reps were helping customers and oblivious to new people walking in the door. Then, the reps started helping customers that entered after me. They should at least have a “take a number” machine. It would be pathetic for a technology company to have to do that, but it would be 1000 times better than their current system.",1,25-Mar,1537
Xfinity #1538 Jacksonville,Store Experience | Not Recommended,Pack a lunch to visit this place....my lord man. Don't make any plans other than your visit here.,5,25-Mar,1538
Xfinity #1538 Jacksonville,Store Experience | Not Recommended,"When I first visited Xfinity, I was assisted by a representative named Ada. Unfortunately, her customer service was lacking, and she showed little empathy. As I tried to explain my situation, she gave me a dismissive attitude, making it clear that she wasn’t concerned. I would not recommend her to anyone. I escalated the issue to the manager for assistance, but he also displayed a dismissive attitude. He didn’t offer any apology for his employee’s behavior. I felt frustrated and annoyed with their customer service and approach, as it was completely unacceptable. However, Josh Price turned my experience around. He provided the excellent customer service I should have received from the start, and really made my day better. Thank you, Josh Price, for your exceptional service, great conversation, and the laughter that made my experience with Xfinity truly worthwhile.",3,25-Mar,1538
Xfinity #1538 Jacksonville,Store Experience | Staff | Appreciation,Ada Arencibia is a life savor. She is greatly appreciated. I had a bad experience switching over to At&t. 3 days full of problem I went right back to Xfinity. Ada was able to help resolve our issue and put us on game. Lovely soul. Great customer service and a great customer experience makes a loyal customer.,5,25-Feb,1538
Xfinity #1538 Jacksonville,Store Experience | Staff | Appreciation,"Ada is amazing!! So knowledgeable, and very professional. Made my experience in store so much better. The team at this store is also very nice and knows a lot about their products and services.",5,25-Feb,1538
Xfinity #1538 Jacksonville,Store Experience | Staff | Appreciation,Fast nice service,5,25-Jan,1538
Xfinity #1538 Jacksonville,Store Experience | Staff | Appreciation,Great staff and environment,4,25-Mar,1538
Xfinity #1538 Jacksonville,Store Experience | Staff | Appreciation,"I am giving a five star review solely because of two associates at this location, Jocelyn and Ada, who worked extremely quickly to settle my issue. They were responsive, polite, and knowledgeable. They are responsible for the easiest customer service experience I've ever had with this company. If you have to deal with Comcast, come here. You'll be in and out in no time.",5,25-Feb,1538
Xfinity #1538 Jacksonville,Store Experience | Staff | Appreciation,"Kyle at the Xfinity Comcast store at River City in Jax Fla. gave exceptional customer service to us. He went into depth about what the services offered and explained in detail how we should access the channels. Thank You Kyle for your kindness, professional manner. It is very rare to get good customer service and we are appreciative.",5,25-Mar,1538
Xfinity #1538 Jacksonville,Store Experience | Staff | Dissatisfaction,"Fraud activity at this location, added a smart watch to my account without my authorization, also extended my contract when I said not too, then told me there was nothing they could do , told me call police and asked me to leave , what a way to treat a veteran , will be going to Verizon",1,25-Feb,1538
Xfinity #1538 Jacksonville,Store Experience | Staff | Dissatisfaction,"Fraud, signed me up for a smart watch I did not ask for then told me nothing they could do,  said to call the police,  laughed at me and asked me to leave",1,25-Feb,1538
Xfinity #1539 Sarasota Pavilion,Store Experience | Clean Store,"(Translated by Google) Excellent service, clean and tidy premises and professional staff. I went to this premises to extend a line and get another phone and everything was super fast and the workers were very attentive. Many thanks to the entire team.

(Original)
Excelente trato, local limpio y ordenado y personal profesional, fui a este local para ampliar una línea y obtener otro teléfono y todo super rápido y muy atentos los trabajadores. Muchas gracias a todo el equipo.",5,25-Feb,1539
Xfinity #1539 Sarasota Pavilion,Store Experience | Customer Appreciation,"Very easy to drop off my old equipment. No wait, much better than their store in Venice.",5,25-Mar,1539
Xfinity #1539 Sarasota Pavilion,Store Experience | Long Wait Time,"I'm at the store now, there's two customer service people working and they are about 14 oh I'm sorry there are 16 customers waiting to be serviced. Perhaps one of the worst run companies as it pertains to customer service and enhancing the customer experience. Also, they promote these booster extenders to enhance the range of your signal in your home. Don't fall for it, don't buy it. I bought two I was on the phone with their support team for over an hour. They assured me that they would call me back within two hours with a higher level technical support person. No one ever called me back. Which leads me back to the store right now trying to return these things. Use frontier or Verizon Xfinity is awful.",1,25-Jan,1539
Xfinity #1539 Sarasota Pavilion,Store Experience | Long Wait Time,Staff is great once you actually get to them... Usually a long wait. But.. It's pretty much the only way to get anything done. The call centres are useless.,3,25-Feb,1539
Xfinity #1539 Sarasota Pavilion,Store Experience | Short Wait Time,Everything was good. Good and quick service.,5,25-Feb,1539
Xfinity #1539 Sarasota Pavilion,Store Experience | Staff | Appreciation,"Reggie Homme was an absolute pleasure to work with. He was pleasant, helpful, and incredibly informative, making our time there truly enjoyable. His friendly demeanor and willingness to assist made all the difference. Highly recommend!",5,25-Mar,1539
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Long Wait Time,Long line outside at store 15 minutes past opening time. Staff was not on time to open the store.,1,25-Jan,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Short Wait Time,They Hustle to get to the next customer no matter how busy they are the lines move quickly and promptly specially during rush hour here and at other locations. I do this often as an A/V tech..,5,25-Mar,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Appreciation,Eric made this experience so seamless. Idk how to use internet/technological equipment and often get frustrated when trying to set things up so he explained things nicely and walked me through it. Eric saved my WEEK because I needed internet today for school and really helped so much. 10/10 experience,5,25-Jan,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Appreciation,Great service,4,25-Mar,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Appreciation,I had to get a new phone and  I was helped by Brandon who was really wonderful. Made the process so easy and pleasant and he is such a kind and patient young man. He also helped me with my Xfinity account.,5,25-Jan,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Appreciation,"I went 2 x-Finnity store 1540 in Boynton BCH, and fortunate 2 b helped by, Juan Calderon.  He was efficient, polite, knowledgeable, and most important patient.  Than u, for having employee, such as, Juan.  Great Customer Service!",5,25-Feb,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Appreciation,"I’m really proud of Kency,he’s a good  person,he knows how  to talk with customers,how to result problems for customers,he’s a good professional for Xfinity.,the reason why I give him five stars.",5,25-Feb,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Appreciation,The staff was friendly and super helpful,5,25-Feb,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Appreciation,Very very very helpful,5,25-Mar,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Appreciation,"We are very pleased with the current Xfinity staff.  We have been going to that location for over 15 years. The last several years the staff has really improved, very helpful and courteous. John and several others we have dealt with are great.",5,25-Mar,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Behaviour Issues,"Came for the new phone asked for samsung s25 ULTRA , manager grabbed s25+  when I told that I wanted another model he said that I didn't say  I need  ultra and I told him to bring s25+ and I have to watch what's coming out from my mouth. I just didn't want to escalate because I was with my family and kids there.then he added insurance to my phone without even asking me i declined that insurance just because didnt want to have any business with that manager have my phone and leave asap. Very rude and  unprofessional . Maybe he had hearing problems anyway he shouldn't speak with customers like that",1,25-Feb,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Behaviour Issues,"Worst customer service EVER! Nick Bogle was VERY RUDE AND NONCHALANT. He was playing game on his phone while servicing us and started talking about us while we went paying on the kiosk.
Plain RUDE.",1,25-Feb,1540
Xfinity #1540 Boynton Beach - Oakwood Square,Store Experience | Staff | Dissatisfaction,"The phone service is horrible and takes way too long, showing a complete disregard for customers time and work",1,25-Mar,1540
Xfinity #1701 Sterling Heights,Store Experience | Customer Dissatisfaction,"Terrible service. They told me to come here so they could switch the box, and when I came here told me they weren't able to do anything.",1,25-Jan,1701
Xfinity #1701 Sterling Heights,Store Experience | Long Wait Time,"I came to this location to see if I could bundle my internet with their mobile service to save some money. Previously had a T-Mobile phone plan. I was helped by employee David who was incredible when it came to saving me money while being proficient and professional.  Not only did he get my internet cost lowered from $55/month to $45 /month BUT he got me their mobile unlimited plan for free for the first year on top of a free phone upgrade.

Almost sounds too good to be true, but the new phone (Galaxy A16) has been great, and I've double checked my billing statements. It's all true. I believe once my free year is up on mobile it'll be $40/month, which is still not bad at all.

I see some other reviews griping about the wait times and whatever else, but it isn't that bad. Folks just lack patience.",5,25-Mar,1701
Xfinity #1701 Sterling Heights,Store Experience | Staff | Appreciation,"Fast, efficient and friendly",5,25-Feb,1701
Xfinity #1701 Sterling Heights,Store Experience | Staff | Appreciation,Great customer service. They were very helpful and explained several options for me.,5,25-Jan,1701
Xfinity #1701 Sterling Heights,Store Experience | Staff | Appreciation,"I'm giving this a 5 stars because Josh M.  He was awesome ,very sweet and professional while fixing my phone. We will be back when we get another phone and we will be asking for him.",5,25-Feb,1701
Xfinity #1701 Sterling Heights,Store Experience | Staff | Appreciation,Very polite great customer service go,5,25-Mar,1701
Xfinity #1701 Sterling Heights,Store Experience | Staff | Appreciation,"We were greeted promptly by Kamiya (pardon if I have gotten the spelling wrong), and she was awesome throughout the entire interaction! She was patient, and was able to juggle a number of customers with a smile on her face. Great customer service, and on top of that my issue was taken care of!",5,25-Feb,1701
Xfinity #1701 Sterling Heights,Store Experience | Staff | Behaviour Issues,"(Translated by Google) They are attractive and let someone buy from them and then they raise the price. I had an insurance iPad for my son. Then when they found out it was broken, they removed the warranty. They said, “You don’t have thieves. I will never deal with them until the subscription ends.” The employees’ behavior is not good at all, especially with Arabs.

(Original)
جذابين يخلون واحد يشتري منهم وبعدين يصعدون السعر وجان عندي انشورنس ايباد ابني بعدين هما من عرفو مكسور شالو الضمان كالو ما عندج حراميه ابد ما اتعامل وياهم اذا يخلص  الاشتراك  اسلوب الموضفين ابد مو زين ويا العرب خصوصا",1,25-Mar,1701
Xfinity #1701 Sterling Heights,Store Experience | Staff | Behaviour Issues,"Professional, Easy Not much to Say They Hooked me Up with a Wi-Fi router that was faster than the previous one on my plan for better signal I was In and out like 15 minutes Good service",5,25-Mar,1701
Xfinity #1701 Sterling Heights,Store Experience | Staff | Dissatisfaction,Terrible customer service. The phone bot will not put you through to a representative no matter how many times you say it. How about you guys optimize your site better and put some money into customer service? Spectrum and ATT are better than you in that way. After my term contract is up I am moving onto them or a different provider. I want to solve my issues as fast as possible not be your workhorse to do what you guys should be doing. But who am I kidding. None of you care. We are all just money in and money out.,1,25-Jan,1701
Xfinity #1703 Greenwood,Store Experience | Customer Appreciation,It's a nice store,5,25-Mar,1703
Xfinity #1703 Greenwood,Store Experience | Customer Appreciation,So regarding my professional opinion now 🙃as I left them a really bad review…..which I truly hate to do unless it is truly warranted…..I had to make another visit just last week to the Xfinity Store and to my surprise it was all better than Good ☮️,5,25-Mar,1703
Xfinity #1703 Greenwood,Store Experience | Long Wait Time,"Need: ( Better Managers)

Time management skills:

Everyone can not take a break; when you have a full  store of customers.

Parking area:

Xfinity Mobile Trucks: Should not park in front of the store; taking away customers' spots.

Waiting area:

Need better seats for customer's",3,25-Feb,1703
Xfinity #1703 Greenwood,Store Experience | Long Wait Time,"Sitting here waiting for 2+ hours to get a phone's carrier lock removed, when it shouldn't have had one in the first place. Nobody here but me and one other customer, and all the reps are playing around and talking instead of working. I shouldn't have expected any more from America's worst company.

Edit: automated responses to reviews do nothing. Only further proof y'all are lazy and inattentive to customers.",1,25-Jan,1703
Xfinity #1703 Greenwood,Store Experience | Long Wait Time,"We set up xfinity service over the phone. I went to the store the next day to pick up the equipment which was super easy and convenient!
It was like being in a phone store or an electronics department at Best Buy. Lots of available staff and my wait was short.",5,25-Feb,1703
Xfinity #1703 Greenwood,Store Experience | Staff | Behaviour Issues,"Please don’t come to this store, they don’t know anything. They will just keep you waiting, talk rude and they don’t care about helping their customers.",1,25-Jan,1703
Xfinity #1705 Plymouth,Store Experience | Short Wait Time,Prompt and efficient service when returning a cable box.,5,25-Jan,1705
Xfinity #1705 Plymouth,Store Experience | Short Wait Time,"Very good, efficient service when visiting in person",4,25-Feb,1705
Xfinity #1705 Plymouth,Store Experience | Staff | Appreciation,Everyone was so nice and welcoming.,5,25-Feb,1705
Xfinity #1705 Plymouth,Store Experience | Staff | Appreciation,Friendly and knowledgeable,4,25-Mar,1705
Xfinity #1705 Plymouth,Store Experience | Staff | Appreciation,The agent Misty was so helpful she was so wonderful so kind I really enjoyed spending my time with her She made all my troubles better and so did my technical agent who finally came today he was absolutely wonderful I thank you guys for hiring the right respectable people for your company,5,25-Feb,1705
Xfinity #1705 Plymouth,Store Experience | Staff | Appreciation,"Very polite and professional staff. Answered all of my questions, and were very quick with helping me with internet services.  Store is very clean and welcoming.",5,25-Jan,1705
Xfinity #1706 Grand Rapids East,Store Experience | Short Wait Time,Quick trip in and out to return a Gateway as I upgraded to a better one. Easy and quick visit.,5,25-Feb,1706
Xfinity #1706 Grand Rapids East,Store Experience | Staff | Appreciation,Had a wonderful experience with the most knowledgeable person I’ve encountered here Kendal! He was super helpful and got right to the point with all of my questions and concerns. Absolutely legendary experience!!,5,25-Mar,1706
Xfinity #1706 Grand Rapids East,Store Experience | Staff | Behaviour Issues,"I would give this store ONE STAR but for the employee who was AMAZING (Jaqueline) *I hope I spelled it right*
The boss (some Asian guy) very rude n condescending towards her (I don't like him) I want this woman to get a raise or promotion! She goes out of her way to make sure individuals and families get the help they need without all the chaos of hidden fees etc. She was EXEMPLARY! A GREAT EMPLOYEE.",5,25-Feb,1706
Xfinity #1706 Grand Rapids East,Store Experience | Staff | Dissatisfaction,"Absolutely the worst customer service I have ever experienced. They had me talk to computer screen that connected me to an employee who had no clue as to what I was asking him. A severe language barrier. Over 40 minutes of this employee typing away and then asking me the same questions over and over. Just a warning to customers, do not use the computer screen service representative unless you have plenty of time to waste.",1,25-Mar,1706
Xfinity #1707 Indianapolis,Store Experience | Customer Dissatisfaction,"1)This store needs to hire more staff employees.
2)Xfinity needs to hire more proper English speaking Customer Service Representatives.",3,25-Mar,1707
Xfinity #1707 Indianapolis,Store Experience | Customer Dissatisfaction,"I was a walk-in, but I had to wait just a few minutes before I had the great good fortune to be helped by Tommy, who not only patiently and skillfully walked me through my billing issue, but reviewed my account and saved me quite a bit of money. I always have a fine experience here.",5,25-Mar,1707
Xfinity #1707 Indianapolis,Store Experience | Customer Dissatisfaction,"Rude, walkin' around all lazy, not fair people who spend a ton every month they should have people who smile, and say thank you...",1,25-Feb,1707
Xfinity #1707 Indianapolis,Store Experience | Long Wait Time,"Every time I come here it's an hour wait. Ask how long the wait is and they say less than 20 minutes later, why lie about it? Just tell us it'll be an hour so we know what to expect.",1,25-Mar,1707
Xfinity #1707 Indianapolis,Store Experience | Long Wait Time,"Highly unprofessional—their attitudes and appearances are far from impressive. The staff, including two individuals who clearly aren’t paid enough to enforce policies but still felt compelled to interfere (one of whom could use a major professional upgrade repeatedly says, “You can go to the UPS store” like he’s glitching), seem comfortable speaking poorly about customers who express frustration over excessive wait times just to return equipment that they’ll be charged for if not returned. But the moment you call them out, they band together like a low budget team of superheroes.
I overheard them talking badly about a man who was understandably frustrated with the process. When I spoke up about it, they tried to tell me to be quiet. Instead of silencing customers, they should be more concerned with how they talk about them—especially in a packed lobby.",1,25-Mar,1707
Xfinity #1707 Indianapolis,Store Experience | Staff | Behaviour Issues,horrible service & rude management,1,25-Feb,1707
Xfinity #1708 Troy,Store Experience | Customer Appreciation,"Just left the Xfinity Store on Maple Road in Troy.  I had a great experience here. Deandre was the representative I dealt with.  He quickly received the equipment I was returning and then took time to get me answers to questions I had concerning Wi-Fi  coverage and my premium & streaming services.  Overall, it was a quick and productive visit.",5,25-Mar,1708
Xfinity #1708 Troy,Store Experience | Customer Dissatisfaction,"I've only been to this location once and they were less than enthused to see me. I went in to the store because Xfinity customer service is deplorable. Good luck getting a live person on phone or chat/text or a person in the States. They lie then try to trick you into paying for service calls. Yesterday they offered me a FREE iPad that wild only cost me $149 today and 36 per month. This to be paid as bill credits. Bllsht. It ain't free. When the service works it is amazing. But you'd come closer to Winning a Grammy with a karaoke and than getting even mediocre customer service from Xfinity.

The inside store service wasn't much better. Hey dis 'Merca! We don't respect nobody.

That ""We're doing you a favor by when being here. What do you want?"" attitude is common in retail and the service industry these days.

Make it make sense",1,25-Mar,1708
Xfinity #1708 Troy,Store Experience | Customer Dissatisfaction,"Listen, I thought that people were making up these reviews and just being negative for no reason no they are not. This is a horrible location that they treat you like crap and they act like they don’t even want to be bothered. They are very good at making you feel like you are wasting your time talking to them. I will not spend my money with this company. Go to T-mobile you will get a way better experience at their stores.",1,25-Feb,1708
Xfinity #1708 Troy,Store Experience | Long Wait Time,"I am not going to complain about a half hour wait,there are only three stores in the area and those people are under a lot of stress,so be patient or leave, that's your choice, the young lady taking care of me did a excellent job(Sharon) thank you.",5,25-Feb,1708
Xfinity #1708 Troy,Store Experience | Staff | Appreciation,Excellent service from Evan picking up my cable box for my ne,5,25-Mar,1708
Xfinity #1708 Troy,Store Experience | Staff | Appreciation,"They fixed my cable issues and they were very knowledgeable. Thank you Xfinity, you guys are the best!",4,25-Mar,1708
Xfinity #1708 Troy,Store Experience | Staff | Appreciation,Very friendly no hassel I come out in a minute job done,5,25-Feb,1708
Xfinity #1708 Troy,Store Experience | Staff | Behaviour Issues,Evan and another enthusiastic coworker (didn’t get his name) are helpful. After several hours on chat with customer service and a awful visit to a different location these two guys restored my faith in humanity,5,25-Mar,1708
Xfinity #1709 Jackson,Store Experience | Staff | Appreciation,"If your having issues that you need to talk to a person about you mid as well just waste the gas driving to the store because the ""helpful robot lady"" is useless beyond comprehension when it comes to getting an answer on something that not included in the premade prompts.",1,25-Feb,1709
Xfinity #1709 Jackson,Store Experience | Staff | Behaviour Issues,Told me to go to the Apple Store to get my phone fixed and then file a claim afterwards well they lied and now I’m out $300 because they don’t know what there talking about Jackson constantly lets me down with it’s pathetic customer service. Will not trust what they say anymore.,1,25-Feb,1709
Xfinity #1710 Flint,Store Experience | Customer Appreciation,"(Translated by Google) Hello, it is in a very welcoming shopping center for all types of users.

(Original)
Hola está en centro comercial muy acogedor para todo tipo usuario",5,25-Mar,1710
Xfinity #1710 Flint,Store Experience | Customer Dissatisfaction,If I could leave  - star it would be -100! I would rather poke my eye with a hot needle than try to get thru to anyone on the phone. The automated system runs you in circles and takes you NOWHERE!! And if you by miracle get to talk to someone… you can’t understand them as they barely speak English!! Don’t even try to do the chat option as they don’t do what they say and you are back to square one! I wish the CEO had to deal with customer service here and would make changes! We pay a lot of money to have these services only to have to deal with BS when we need help!  Horrible!!!!!!,1,25-Feb,1710
Xfinity #1710 Flint,Store Experience | Customer Dissatisfaction,This store desperately needs to hire people but I was told they are always firing people and you basically have to know someone to work there it doesn't matter how much experience u have or how great the interview goes you have to have someone there put a word in. Ridiculous!,1,25-Jan,1710
Xfinity #1710 Flint,Store Experience | Long Wait Time,The line was a little bit long I asked the lady that was standing next to me where to go pay by the kiosk when to pay by the kiosk and the kiosk kept spitting out my check finally it took it after three times your kiosk needs to be fixed or work done or improved,4,25-Feb,1710
Xfinity #1710 Flint,Store Experience | Not Recommended,Efficient and professional. Recommend going there if you cant troubleshoot something yourself. The 800 number for technical support however is a headache. Just go in person.,5,25-Mar,1710
Xfinity #1710 Flint,Store Experience | Staff | Appreciation,"I was helped by Cam with problems with my cable and phone and he fixed it all with a smile-Thanks, Cam!",5,25-Feb,1710
Xfinity #1710 Flint,Store Experience | Staff | Appreciation,The guy I talked to was helpful and funny,5,25-Feb,1710
